replication,converged,em_iter,time_sec,parameter,true,estimate,bias,sq_error
9,0,40,39.95601570804138,alpha_2_k2,0.1,1925.057437940593,1924.957437940593,3705461.1378828124
9,0,40,39.95601570804138,gamma_k1,0.5,0.3771701351163806,-0.12282986488361941,0.0150871757073282
9,0,40,39.95601570804138,gamma_k2,0.8,0.758323331837096,-0.04167666816290405,0.00173694466916082
9,0,40,39.95601570804138,beta_sc_12_k1,0.55,-126.46336752806052,-127.01336752806051,16132.395530818178
9,0,40,39.95601570804138,beta_sc_12_k2,0.2,33.73591291710476,33.53591291710476,1124.6574551836338
9,0,40,39.95601570804138,beta_sc_21_k1,0.5,-135.43435068265697,-135.93435068265697,18478.147695515563
9,0,40,39.95601570804138,beta_sc_21_k2,0.15,570.4459399073127,570.2959399073127,325237.4590747652
9,0,40,39.95601570804138,beta_dep_1_k1,0.25,3.5209820500288096,3.2709820500288096,10.699323571610673
9,0,40,39.95601570804138,beta_dep_1_k2,0.4,-26.75811695632885,-27.158116956328847,737.5633166136364
9,0,40,39.95601570804138,beta_dep_2_k1,0.25,0.4570640143244258,0.20706401432442578,0.04287550602814601
9,0,40,39.95601570804138,beta_dep_2_k2,0.4,0.3106906445039976,-0.08930935549600244,0.007976160979111342
10,0,40,33.90936845797114,pi,0.4,0.007999985757431332,-0.3920000142425687,0.15366401116617406
10,0,40,33.90936845797114,alpha_2_k1,0.3,-325.69501574622717,-325.9950157462272,106272.75029138291
10,0,40,33.90936845797114,alpha_2_k2,0.1,-97.2005593396193,-97.3005593396193,9467.398847802777
10,0,40,33.90936845797114,gamma_k1,0.5,0.6427467901695997,0.14274679016959968,0.02037664610372372
10,0,40,33.90936845797114,gamma_k2,0.8,0.8041119028939262,0.004111902893926156,1.6907745409078296e-05
10,0,40,33.90936845797114,beta_sc_12_k1,0.55,8.891903671871862,8.341903671871862,69.58735687078925
10,0,40,33.90936845797114,beta_sc_12_k2,0.2,-4.29852604781122,-4.49852604781122,20.236736602836032
10,0,40,33.90936845797114,beta_sc_21_k1,0.5,-5.497617503752819,-5.997617503752819,35.971415721322195
10,0,40,33.90936845797114,beta_sc_21_k2,0.15,1.6636168600028076,1.5136168600028077,2.2910359988847593
10,0,40,33.90936845797114,beta_dep_1_k1,0.25,0.253033724317068,0.0030337243170679984,9.203483231969693e-06
10,0,40,33.90936845797114,beta_dep_1_k2,0.4,0.23695020810720296,-0.16304979189279706,0.02658523463628443
10,0,40,33.90936845797114,beta_dep_2_k1,0.25,0.31795851148171617,0.06795851148171617,0.004618359282810548
10,0,40,33.90936845797114,beta_dep_2_k2,0.4,0.31365230161143837,-0.08634769838856166,0.007455925017002013
