replikation,parameter,sand,estimat,bias,kv_fejl,konvergeret,n_iter,tid_sek
11,gamma,-0.5,-0.496144745687227,0.0038552543127730043,1.486298581615485e-05,1,331,87.10311016702326
11,beta_sc_12,0.55,0.40805218168890134,-0.1419478183110987,0.02014918312328069,1,331,87.10311016702326
11,beta_sc_21,0.5,0.6811818941710809,0.18118189417108088,0.03282687877542075,1,331,87.10311016702326
11,beta_dep_1,0.25,0.3967037630244504,0.14670376302445037,0.021521994085534093,1,331,87.10311016702326
11,beta_dep_2,0.25,0.25830210213194016,0.008302102131940159,6.892489980916534e-05,1,331,87.10311016702326
12,alpha_2,0.3,0.36877351055292545,0.06877351055292547,0.00472979575377335,1,254,69.683786708978
12,gamma,-0.5,-0.4655205549093222,0.034479445090677796,0.001188832133761065,1,254,69.683786708978
12,beta_sc_12,0.55,0.6508087239201734,0.10080872392017337,0.010162398818413734,1,254,69.683786708978
12,beta_sc_21,0.5,0.41260976624945433,-0.08739023375054567,0.007637052954975011,1,254,69.683786708978
12,beta_dep_1,0.25,0.12886165362820773,-0.12113834637179227,0.014674498961692317,1,254,69.683786708978
12,beta_dep_2,0.25,0.32615231267713213,0.07615231267713213,0.0057991747260756985,1,254,69.683786708978
13,alpha_2,0.3,0.2921656741596481,-0.007834325840351875,6.13766613728051e-05,1,281,75.28499816701515
13,gamma,-0.5,-0.4937856470724743,0.0062143529275257015,3.861818230784725e-05,1,281,75.28499816701515
13,beta_sc_12,0.55,0.47675829597773095,-0.0732417040222691,0.005364347208085669,1,281,75.28499816701515
13,beta_sc_21,0.5,0.5813385731024238,0.08133857310242376,0.006615963474338334,1,281,75.28499816701515
13,beta_dep_1,0.25,0.16453324657500157,-0.08546675342499843,0.007304565941009481,1,281,75.28499816701515
13,beta_dep_2,0.25,0.258055637848739,0.008055637848738972,6.489330115003586e-05,1,281,75.28499816701515
14,alpha_2,0.3,0.2693632939035434,-0.03063670609645658,0.0009386077604406597,1,284,75.02159437496448
14,gamma,-0.5,-0.5307411964804467,-0.03074119648044671,0.0009450211610494291,1,284,75.02159437496448
14,beta_sc_12,0.55,0.5636562691950517,0.013656269195051696,0.00018649368832771788,1,284,75.02159437496448
14,beta_sc_21,0.5,0.5395362544261684,0.03953625442616837,0.001563115414050718,1,284,75.02159437496448
14,beta_dep_1,0.25,0.18767276642264782,-0.062327233577352176,0.0038846840454058165,1,284,75.02159437496448
14,beta_dep_2,0.25,0.20537152583512727,-0.04462847416487273,0.0019917007062847125,1,284,75.02159437496448
15,alpha_2,0.3,0.3697466184076882,0.0697466184076882,0.004864590779307671,1,289,76.8435633329791
15,gamma,-0.5,-0.4928579396552055,0.007142060344794476,5.100902596868579e-05,1,289,76.8435633329791
15,beta_sc_12,0.55,0.43625098266893736,-0.11374901733106269,0.012938838943782399,1,289,76.8435633329791
15,beta_sc_21,0.5,0.4883128586607659,-0.011687141339234097,0.00013658927268323456,1,289,76.8435633329791
15,beta_dep_1,0.25,0.18155196993467887,-0.06844803006532113,0.004685132819823105,1,289,76.8435633329791
15,beta_dep_2,0.25,0.279847826227799,0.029847826227799024,0.0008908927305248873,1,289,76.8435633329791
16,alpha_2,0.3,0.33752723138459423,0.03752723138459424,0.001408293095392875,1,283,77.78411312500248
16,gamma,-0.5,-0.48772101583751154,0.01227898416248846,0.00015077345206264243,1,283,77.78411312500248
16,beta_sc_12,0.55,0.527380067291123,-0.022619932708877077,0.0005116613557541271,1,283,77.78411312500248
16,beta_sc_21,0.5,0.5525964951067225,0.052596495106722485,0.0027663912975114825,1,283,77.78411312500248
16,beta_dep_1,0.25,0.21115853005077834,-0.03884146994922166,0.0015086597878162895,1,283,77.78411312500248
16,beta_dep_2,0.25,0.1543482043698014,-0.0956517956301986,0.00914926600728128,1,283,77.78411312500248
17,alpha_2,0.3,0.30203927349920834,0.0020392734992083494,4.158636404573466e-06,1,286,76.24560016702162
17,gamma,-0.5,-0.4945258177328492,0.005474182267150796,2.9966671493988225e-05,1,286,76.24560016702162
17,beta_sc_12,0.55,0.537395726250004,-0.012604273749996064,0.00015886771676483985,1,286,76.24560016702162
17,beta_sc_21,0.5,0.5284821761403836,0.02848217614038362,0.0008112343576918379,1,286,76.24560016702162
17,beta_dep_1,0.25,0.21275531240874726,-0.03724468759125274,0.0013871667537700158,1,286,76.24560016702162
17,beta_dep_2,0.25,0.2666720659578188,0.016672065957818782,0.0002779577833018599,1,286,76.24560016702162
18,alpha_2,0.3,0.2892810543808068,-0.010718945619193176,0.00011489579518722059,1,213,57.70848108397331
