rep,param,true,estimate,bias,sq_error,converged
15,beta_sc_21,0.25,0.10609096064674256,-0.14390903935325744,0.0207098116075774,1
15,beta_dep_1,0.275,0.2697268798377128,-0.005273120162287204,2.7805796245919824e-05,1
15,beta_dep_2,0.275,0.26308020976502555,-0.01191979023497447,0.00014208139924579274,1
16,alpha_2,0.5,0.5141240711717228,0.014124071171722763,0.00019948938646389,1
16,gamma,0.05,0.05089648074758803,0.0008964807475880243,8.036777307959829e-07,1
16,beta_sc_12,0.3,0.2985237021803305,-0.0014762978196695142,2.1794552523609618e-06,1
16,beta_sc_21,0.25,0.23648082264593848,-0.013519177354061523,0.00018276815633056994,1
16,beta_dep_1,0.275,0.26292005678269104,-0.012079943217308986,0.00014592502813340938,1
16,beta_dep_2,0.275,0.2766450031248614,0.0016450031248613772,2.706035280803696e-06,1
17,alpha_2,0.5,0.4878852404666969,-0.012114759533303099,0.0001467673985497583,1
17,gamma,0.05,0.047697741074968915,-0.002302258925031088,5.300396157885301e-06,1
17,beta_sc_12,0.3,0.2686420746114617,-0.031357925388538266,0.0009833194846731327,1
17,beta_sc_21,0.25,0.2694933763483899,0.01949337634838988,0.0003799917214599659,1
17,beta_dep_1,0.275,0.26491767391347015,-0.01008232608652987,0.0001016532993151207,1
17,beta_dep_2,0.275,0.2598679818385665,-0.015132018161433503,0.00022897797363795336,1
18,alpha_2,0.5,0.49209167439568385,-0.007908325604316147,6.254161386388234e-05,1
18,gamma,0.05,0.0501766879839022,0.0001766879839021976,3.1218643655423234e-08,1
18,beta_sc_12,0.3,0.2906847658155409,-0.009315234184459065,8.677358791131474e-05,1
18,beta_sc_21,0.25,0.24362976514823814,-0.006370234851761858,4.057989206660142e-05,1
18,beta_dep_1,0.275,0.2731034806527152,-0.0018965193472847974,3.596785634625554e-06,1
18,beta_dep_2,0.275,0.2691949352876691,-0.005805064712330943,3.369877631434993e-05,1
19,alpha_2,0.5,0.49700458097342004,-0.0029954190265799596,8.972535144797233e-06,1
19,gamma,0.05,0.05078261328772901,0.0007826132877290087,6.124835581300083e-07,1
19,beta_sc_12,0.3,0.2130843485507078,-0.0869156514492922,0.007554330466854849,1
19,beta_sc_21,0.25,0.3349444515617086,0.0849444515617086,0.007215559851119459,1
19,beta_dep_1,0.275,0.28390356143910767,0.008903561439107643,7.927340629996456e-05,1
19,beta_dep_2,0.275,0.27858904111914845,0.0035890411191484284,1.2881216154938203e-05,1
20,alpha_2,0.5,0.50968721451499,0.009687214514989995,9.384212505943283e-05,1
20,gamma,0.05,0.05135460314615037,0.0013546031461503655,1.8349496835604685e-06,1
20,beta_sc_12,0.3,0.4184853288776259,0.11848532887762592,0.014038773159239175,1
20,beta_sc_21,0.25,0.13032792969639787,-0.11967207030360213,0.014321404410750293,1
20,beta_dep_1,0.275,0.27795690028033837,0.002956900280338348,8.743259267865002e-06,1
20,beta_dep_2,0.275,0.2814455165011589,0.006445516501158877,4.154468296671137e-05,1
