replication,converged,em_iter,time_sec,parameter,true,estimate,bias,sq_error
2,0,40,2785.2952524169814,beta_sc_21_k2,0.15,0.1576507454201585,0.007650745420158506,5.853390548407635e-05
2,0,40,2785.2952524169814,beta_dep_1_k1,0.25,0.2697176267617212,0.019717626761721174,0.00038878480511454305
2,0,40,2785.2952524169814,beta_dep_1_k2,0.4,0.38364207966533703,-0.01635792033466299,0.00026758155767518096
2,0,40,2785.2952524169814,beta_dep_2_k1,0.25,0.2529893033223277,0.0029893033223277188,8.935934352879537e-06
2,0,40,2785.2952524169814,beta_dep_2_k2,0.4,0.41130964177146523,0.011309641771465206,0.00012790799699887066
3,0,40,2614.8777222500066,pi,0.4,0.48764007746496174,0.08764007746496172,0.007680783178064491
3,0,40,2614.8777222500066,alpha_2_k1,0.3,0.23018088326875757,-0.06981911673124241,0.004874709061130854
3,0,40,2614.8777222500066,alpha_2_k2,0.1,0.14973054204026384,0.049730542040263837,0.0024731268116184486
3,0,40,2614.8777222500066,gamma_k1,0.5,0.4595807204629394,-0.04041927953706059,0.0016337181582950452
3,0,40,2614.8777222500066,gamma_k2,0.8,0.8621018188896539,0.062101818889653826,0.003856635909403365
3,0,40,2614.8777222500066,beta_sc_12_k1,0.55,0.4796824671717833,-0.07031753282821673,0.004944555423047338
3,0,40,2614.8777222500066,beta_sc_12_k2,0.2,0.20111639759353034,0.0011163975935303272,1.2463435868403056e-06
3,0,40,2614.8777222500066,beta_sc_21_k1,0.5,0.47180921613804794,-0.028190783861952062,0.0007947202947512968
3,0,40,2614.8777222500066,beta_sc_21_k2,0.15,0.22619704880739136,0.07619704880739137,0.005805990246955982
3,0,40,2614.8777222500066,beta_dep_1_k1,0.25,0.2161881822706735,-0.03381181772932651,0.0011432390181611986
3,0,40,2614.8777222500066,beta_dep_1_k2,0.4,0.422610757176058,0.022610757176057983,0.0005112463400746576
3,0,40,2614.8777222500066,beta_dep_2_k1,0.25,0.20747445277008908,-0.04252554722991092,0.0018084221672033845
3,0,40,2614.8777222500066,beta_dep_2_k2,0.4,0.47225372732377724,0.07225372732377722,0.005220601112178751
4,0,40,2576.181804666994,pi,0.4,0.49992873968641866,0.09992873968641863,0.009985753015316018
4,0,40,2576.181804666994,alpha_2_k1,0.3,0.29264260356351046,-0.007357396436489527,5.413128232366879e-05
4,0,40,2576.181804666994,alpha_2_k2,0.1,0.05323677968239217,-0.04676322031760784,0.0021867987744731304
4,0,40,2576.181804666994,gamma_k1,0.5,0.5477639100105629,0.047763910010562904,0.002281391099497151
4,0,40,2576.181804666994,gamma_k2,0.8,0.8074022089353989,0.007402208935398891,5.479269712329918e-05
4,0,40,2576.181804666994,beta_sc_12_k1,0.55,0.5290319986411602,-0.020968001358839805,0.0004396570809843079
4,0,40,2576.181804666994,beta_sc_12_k2,0.2,0.09502858881483767,-0.10497141118516234,0.011018997166204426
4,0,40,2576.181804666994,beta_sc_21_k1,0.5,0.5029321677061687,0.0029321677061686646,8.597607457098409e-06
4,0,40,2576.181804666994,beta_sc_21_k2,0.15,0.10190001171668847,-0.04809998828331152,0.002313608872854706
4,0,40,2576.181804666994,beta_dep_1_k1,0.25,0.2588732137538819,0.008873213753881892,7.873392232207878e-05
4,0,40,2576.181804666994,beta_dep_1_k2,0.4,0.4329778073306552,0.032977807330655196,0.0010875357763378156
4,0,40,2576.181804666994,beta_dep_2_k1,0.25,0.26293792025486734,0.012937920254867341,0.0001673897805213066
4,0,40,2576.181804666994,beta_dep_2_k2,0.4,0.4380229067423502,0.038022906742350204,0.0014457414371374607
5,0,40,2673.19435729197,pi,0.4,0.4216054881787751,0.021605488178775056,0.0004667971194431887
5,0,40,2673.19435729197,alpha_2_k1,0.3,0.2907356528370683,-0.009264347162931674,8.582812835532017e-05
5,0,40,2673.19435729197,alpha_2_k2,0.1,0.1227697640354064,0.022769764035406398,0.0005184621542280866
5,0,40,2673.19435729197,gamma_k1,0.5,0.4551090610725147,-0.0448909389274853,0.0020151963977912152
5,0,40,2673.19435729197,gamma_k2,0.8,0.8580376264629199,0.05803762646291988,0.0033683660854494177
5,0,40,2673.19435729197,beta_sc_12_k1,0.55,0.5806185259279042,0.03061852592790415,0.0009374941299977387
5,0,40,2673.19435729197,beta_sc_12_k2,0.2,0.20844399851016088,0.008443998510160866,7.130111083959892e-05
5,0,40,2673.19435729197,beta_sc_21_k1,0.5,0.44636581739486464,-0.05363418260513536,0.0028766255437210047
5,0,40,2673.19435729197,beta_sc_21_k2,0.15,0.10758627470270253,-0.042413725297297464,0.001798924093594611
5,0,40,2673.19435729197,beta_dep_1_k1,0.25,0.21002560179959215,-0.03997439820040785,0.0015979525114847705
5,0,40,2673.19435729197,beta_dep_1_k2,0.4,0.43309126989687674,0.03309126989687672,0.0010950321433879392
5,0,40,2673.19435729197,beta_dep_2_k1,0.25,0.21936736368051724,-0.030632636319482764,0.0009383584078816946
5,0,40,2673.19435729197,beta_dep_2_k2,0.4,0.43394185007691577,0.03394185007691575,0.0011520491866438254
6,0,40,2509.2069745420013,pi,0.4,0.44947931283687786,0.04947931283687784,0.0024482023988096242
6,0,40,2509.2069745420013,alpha_2_k1,0.3,0.31970242663893733,0.019702426638937343,0.00038818561546270785
6,0,40,2509.2069745420013,alpha_2_k2,0.1,0.012624839658384597,-0.08737516034161541,0.007634418644723002
6,0,40,2509.2069745420013,gamma_k1,0.5,0.509454113950789,0.00945411395078899,8.9380270594503e-05
6,0,40,2509.2069745420013,gamma_k2,0.8,0.7573709934230812,-0.042629006576918815,0.0018172322017349877
6,0,40,2509.2069745420013,beta_sc_12_k1,0.55,0.7224734992646512,0.17247349926465116,0.029747107948593626
6,0,40,2509.2069745420013,beta_sc_12_k2,0.2,0.09814649096291825,-0.10185350903708176,0.010374137303166896
6,0,40,2509.2069745420013,beta_sc_21_k1,0.5,0.4390280296502629,-0.060971970349737115,0.003717581168329222
6,0,40,2509.2069745420013,beta_sc_21_k2,0.15,0.07440548615044251,-0.07559451384955748,0.005714530524150938
6,0,40,2509.2069745420013,beta_dep_1_k1,0.25,0.2510615953217139,0.001061595321713904,1.1269846270848473e-06
6,0,40,2509.2069745420013,beta_dep_1_k2,0.4,0.3875664517661417,-0.012433548233858338,0.0001545931216836818
